month,bars,md_threshold_median,large_small_threshold_median,md_pass_rate,large_small_pass_rate,entry_rate,entries
2023-06,1287,,,0.0,0.0,0.0,0
2023-07,3877,2.885230762217295,0.2479451830625536,0.0711890637090534,0.22775341759092083,0.0392055713180294,152
2023-08,3901,2.9023757619440564,0.25171725159472824,0.09971802102025122,0.3765701102281466,0.05075621635478082,198
2023-09,3814,2.8707221158811764,0.264970531645067,0.09412690089145255,0.2863135815416885,0.041426324069218666,158
2023-10,4659,2.856364706617748,0.2596133008216504,0.09830435715818846,0.20991629104958145,0.04614724189740287,215
2023-11,4199,2.8739386193901595,0.25282022098483076,0.1009764229578471,0.31078828292450583,0.053584186711121695,225
2023-12,3929,2.86980149440856,0.25408142240215054,0.10587935861542377,0.3100025451768898,0.0542122677526088,213
2024-01,4469,2.8315506976090745,0.25222974777564966,0.08816289997762362,0.3103602595658984,0.051241888565674645,229
2024-02,3973,2.860424670972987,0.24985804175459075,0.10797885728668513,0.34885476969544427,0.06468663478479739,257
2024-03,5503,2.8647627912277382,0.2547685669281678,0.09721969834635653,0.2767581319280393,0.05596947119752862,308
2024-04,7874,2.838631557429159,0.2666810527390286,0.10287020574041147,0.3968757937515875,0.06477012954025908,510
2024-05,6580,2.8602696913108137,0.29465678554770053,0.09939209726443769,0.3738601823708207,0.053495440729483285,352
2024-06,4625,2.8442690718387706,0.3179772334374495,0.10054054054054054,0.3429189189189189,0.040432432432432434,187
2024-07,5524,2.8445168204885074,0.3271000039812532,0.0939536567704562,0.2103548153511948,0.035662563359884145,197
2024-08,5520,2.8357874561997267,0.30922132640168204,0.09945652173913043,0.24166666666666667,0.045108695652173916,249
2024-09,5332,2.8461935468789026,0.29637471090245493,0.10990247561890473,0.2605026256564141,0.05607651912978245,299
2024-10,5781,2.859758382267224,0.28362652159177304,0.09859885832900882,0.30738626535201524,0.05379692094793288,311
2024-11,5504,2.8569253393662937,0.2799737656936383,0.08793604651162791,0.29596656976744184,0.04869186046511628,268
2024-12,4184,2.8453668258714537,0.28044346966155953,0.10611854684512428,0.27891969407265776,0.05903441682600383,247
2025-01,4731,2.8226881726690425,0.27978529853343687,0.10547452969773832,0.2868315366730078,0.062143310082435003,294
2025-02,5299,2.827526026097013,0.2770536938968857,0.09530100018871485,0.3153425174561238,0.05510473674278166,292
2025-03,5494,2.8446377597560546,0.27759628174474266,0.10647979614124499,0.3101565344011649,0.06680014561339644,367
2025-04,8320,2.8405050769294706,0.2936449483511435,0.09290865384615385,0.3563701923076923,0.0640625,533
2025-05,7290,2.8163642682600822,0.3022509512370757,0.10576131687242799,0.2813443072702332,0.06721536351165981,490
2025-06,6692,2.8725744062091496,0.3114282715576423,0.1152121936640765,0.29363419007770475,0.07127913927077106,477
2025-07,6680,2.9473086135459705,0.3004099660517411,0.09520958083832336,0.2965568862275449,0.05583832335329341,373
2025-08,5973,2.911422335551405,0.29164834551361396,0.08270550811987276,0.23137451866733635,0.039511133433785366,236
2025-09,8974,2.82323398178138,0.2704830832256807,0.098395364386004,0.2725651883218186,0.048919099621127705,439
2025-10,15585,2.7846005999395027,0.28626628767173035,0.09977542508822586,0.43747192813602825,0.07167147898620468,1117
2025-11,8681,2.7847153618715983,0.3891197277730152,0.1058633797949545,0.37334408478285913,0.06842529662481281,594
2025-12,12202,2.8106045330430627,0.48022336569939655,0.09736108834617276,0.38305195869529585,0.05367972463530569,655
2026-01,18507,2.769042318861428,0.5887978169370538,0.09304587453396013,0.38579996757983465,0.04998108823688334,925
2026-02,8984,2.709984004237271,0.6897962769488395,0.11041852181656278,0.329919857524488,0.05431878895814782,488
2026-03,10214,2.7570272859183858,0.7003753024655115,0.09800274133542197,0.2259643626395144,0.0450362247895046,460
2026-04,6823,2.785778121474932,0.6321653819890346,0.10581855488787924,0.31261908251502274,0.05935805364209292,405
2026-05,6498,2.785769761021787,0.6395618557535722,0.0943367189904586,0.39935364727608497,0.061095721760541705,397
2026-06,4684,2.7754622663926396,0.6854514151887003,0.09436379163108455,0.3042271562766866,0.050597779675491034,237
