root_a,root_b,observations,test_observations,coint_tstat,coint_pvalue,hedge_beta_a_on_b,spread_adf_tstat,spread_adf_pvalue,half_life_bars
GC,SI,242166,20000,-1.7148805283170028,0.6700720924543907,0.6106821440460929,-1.7148525625024316,0.4234766937341176,2470.5009925134436
GC,HG,242166,20000,-3.064780783045879,0.09559789778825772,1.9307631321188017,-3.0646920682972922,0.029278892439323828,760.9843902158341
GC,PL,242166,20000,-2.243715585342161,0.40194814166786375,0.7789026667414927,-2.2437002441232616,0.1907686319406966,1559.562908032972
GC,PA,242166,20000,-2.694543393635684,0.2015473177936638,0.9187379152005134,-2.6946358100011643,0.07497111687596786,1461.3600688461752
SI,HG,242166,20000,-3.2444680233105734,0.06280072151483536,3.0503714837178975,-3.2443727788622927,0.01755565703760236,683.6296652513129
SI,PL,242166,20000,-3.091560470667879,0.09001047800402062,1.2793738895060347,-3.0914726771364536,0.027190718485922697,647.1931754836584
SI,PA,242166,20000,-2.9193986825203124,0.13062864062295243,1.6214212916270516,-2.9193963864740122,0.04313850824265446,982.6077760081685
HG,PL,242166,20000,-2.9136912533474004,0.13217226470390286,0.3203295783306377,-2.9135588230857756,0.04379385726624772,774.738218549806
HG,PA,242166,20000,-2.1826791826438914,0.4333126488408854,0.3567689872870718,-2.182543133369561,0.2126421867275221,1395.794298755236
PL,PA,242166,20000,-3.341438216469902,0.049283955197452274,1.329590316740177,-3.3414141831183497,0.013125750255381832,717.4933254100641
