sample,root,start,end,nobs,cum_vol_adjusted_logret,ann_return,ann_vol,sharpe_like,mean_usd_beta,last_usd_beta,mean_hedged_ann_vol
full_available,GC,2011-03-29 00:00:00+00:00,2024-11-29 00:00:00+00:00,3589,0.8184996534095551,0.057470580289553604,0.10881327052459915,0.5281578249829498,-1.108556441330776,-1.4249878937191915,0.11544534635699345
full_available,HG,2011-03-29 00:00:00+00:00,2024-11-29 00:00:00+00:00,3589,0.30752195015514494,0.021592513635858603,0.1038329826508992,0.20795428470407723,-1.2969212118098377,-2.0431112024657843,0.17557458257350905
full_available,PA,2011-03-30 00:00:00+00:00,2024-11-29 00:00:00+00:00,3528,0.29118553127034025,0.020798966519310017,0.10744877371795729,0.19357099945975473,-1.623331513616347,-2.9840977819387278,0.26170641769472697
full_available,PL,2011-03-29 00:00:00+00:00,2024-11-29 00:00:00+00:00,3589,-0.18254614694325783,-0.012817394547144322,0.10464831233582046,-0.12248066176177605,-1.7519575717123577,-1.9915085890423172,0.18195274219995425
full_available,SI,2011-03-29 00:00:00+00:00,2024-11-29 00:00:00+00:00,3589,0.22939791606141569,0.01610707017204702,0.10692416938296309,0.15064012435165536,-2.0182711496916546,-2.635398583205339,0.21791253549924136
trade_overlap,GC,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.3835124813988615,0.21524531250002918,0.11488487650152376,1.8735739555517066,-1.1831635990397253,-1.4249878937191915,0.10645195369747401
trade_overlap,HG,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.1431436055886102,0.08033895012991041,0.10452844703472937,0.7685845567304559,-1.4945483989606367,-2.0431112024657843,0.1639865817102324
trade_overlap,PA,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.08952241775216505,-0.05024420773618172,0.10543610695390727,-0.4765370155230277,-2.7188209910550247,-2.9840977819387278,0.30746269597901627
trade_overlap,PL,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.03402245577708003,0.019095008587581667,0.10220182109606227,0.1868362851346235,-2.073515612708818,-1.9915085890423172,0.19644786961312066
trade_overlap,SI,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.20562834983801165,0.1154083388845856,0.10469521327996649,1.1023267947883255,-2.4061500937785025,-2.635398583205339,0.22258454470397188
