target_months,min_volume,cost_multiplier,variant,net_return,cost_return,sharpe,tstat,max_drawdown,event_count,event_tstat,active_fraction
1,10.0,1.0,target1m_minv10_lb126_entry1p5_exit0p25_both_costx1p0,0.059973514386374896,0.054929307495843495,2.983536795403681,5.165868485677406,-0.005183009750476782,239,8.857306288073032,0.7516059957173448
1,500.0,1.0,target1m_minv500_lb126_entry1p5_exit0p25_both_costx1p0,0.016847301161251754,0.01973755019800854,0.9682465090498745,1.6749463798868887,-0.008130662661393217,108,2.9748172856034145,0.7593052109181141
1,1000.0,1.0,target1m_minv1000_lb126_entry1p5_exit0p25_both_costx1p0,0.01337738678259424,0.011082085043288625,0.8441229498818466,1.4602280161809624,-0.008155599508868776,82,5.326849199043004,0.6333333333333333
3,10.0,1.0,target3m_minv10_lb126_entry1p5_exit0p25_both_costx1p0,0.06536363742694105,0.04540085242956662,2.6476315763528375,4.584262725714075,-0.00914549558411869,196,6.672719694136708,0.8408602150537634
3,500.0,1.0,target3m_minv500_lb126_entry2p0_exit0p25_both_costx1p0,0.01553356696580121,0.009178022904172838,0.7947598468466465,1.37483596988283,-0.009501142627744347,47,2.416283419153232,0.5821287779237845
3,1000.0,1.0,target3m_minv1000_lb126_entry2p0_exit0p25_contango_only_costx1p0,0.004510056192611408,0.0016122991897243048,0.8783637679754741,1.519460384977794,-0.0011209454406519936,9,2.0611239008332802,0.1484375
6,10.0,1.0,target6m_minv10_lb252_entry1p5_exit0p25_both_costx1p0,0.028696013310267363,0.023297132398646208,1.224108560706005,2.1175559975475835,-0.006860178350254959,139,2.69061263994437,0.7334878331402086
6,500.0,1.0,target6m_minv500_lb252_entry1p5_exit0p25_backwardation_only_costx1p0,0.005598144825116736,0.0008771333914255597,0.8324101387951343,1.4327020403521664,-0.001073413155055489,4,1.179201737815638,0.36713286713286714
6,1000.0,1.0,target6m_minv1000_lb252_entry1p5_exit0p25_backwardation_only_costx1p0,0.0,0.0,,,0.0,0,,0.0
