root,asset,asset_class,feature,horizon_vol_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate,abs_corr
ZN,10-Year U.S. Treasury Note,Rates,high,0,same_vol_bar,126,59.85196967943274,8.257152450401314,0.40577363465267724,0.637003637864555,0.7222222222222222,0.637003637864555
NQ,E-mini Nasdaq-100,Equity,high,0,same_vol_bar,167,433.0443399130672,11.713560511279683,0.39752846667583075,0.6304985857841642,0.7664670658682635,0.6304985857841642
SR3,Three-Month SOFR,Rates,high,0,same_vol_bar,95,7.36888801420379,4.5970292088634634,0.3615533919618893,0.6012930998788272,0.6105263157894737,0.6012930998788272
ZB,U.S. Treasury Bond,Rates,high,0,same_vol_bar,133,80.37897520742787,11.051668180278785,0.35680799739338354,0.5973340751986141,0.7368421052631579,0.5973340751986141
ZF,5-Year U.S. Treasury Note,Rates,high,0,same_vol_bar,127,35.29202797255976,11.35732961573274,0.3538152266584651,0.5948236937601471,0.6929133858267716,0.5948236937601471
NQ,E-mini Nasdaq-100,Equity,spread,0,same_vol_bar,167,433.32580804691423,10.139989106519005,0.3379098695179533,0.581300154410743,0.7365269461077845,0.581300154410743
CL,WTI Crude Oil,Energy,high,0,same_vol_bar,145,528.9885478273042,7.6841563854627335,0.33310034443037806,0.5771484596101577,0.6344827586206897,0.5771484596101577
ZT,2-Year U.S. Treasury Note,Rates,high,0,same_vol_bar,119,10.95043501055186,7.834916394018459,0.31284459953276267,0.5593251286441216,0.7058823529411765,0.5593251286441216
6E,Euro FX,FX,high,0,same_vol_bar,143,31.712599525694845,5.833483753294475,0.29366568858379904,0.5419092992224797,0.6503496503496503,0.5419092992224797
ES,E-mini S&P 500,Equity,high,0,same_vol_bar,156,250.11493569765608,14.553984776271973,0.2812025338068701,0.5302853324455341,0.6923076923076923,0.5302853324455341
ZF,5-Year U.S. Treasury Note,Rates,spread,0,same_vol_bar,127,22.09996241230957,9.389254766009024,0.28045474905422274,0.5295797853527106,0.6220472440944882,0.5295797853527106
UB,Ultra U.S. Treasury Bond,Rates,high,0,same_vol_bar,136,67.83848640062472,7.547993905094024,0.2801421417371971,0.5292845564884706,0.6470588235294118,0.5292845564884706
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,0,same_vol_bar,131,37.242229193260016,8.213400075058935,0.2505127226134578,0.5005124599982079,0.6641221374045801,0.5005124599982079
CL,WTI Crude Oil,Energy,spread,0,same_vol_bar,145,421.0211057793352,6.390717785268958,0.2123644000823215,0.4608301206326703,0.6137931034482759,0.4608301206326703
ZQ,30-Day Fed Funds,Rates,high,0,same_vol_bar,42,1.487950406373261,2.7876288843954518,0.2004804325637276,0.4477504132479697,0.4523809523809524,0.4477504132479697
ZN,10-Year U.S. Treasury Note,Rates,spread,0,same_vol_bar,126,26.66809955198559,4.987329435163998,0.19286501455123906,0.43916399505337306,0.626984126984127,0.43916399505337306
RTY,E-mini Russell 2000,Equity,high,0,same_vol_bar,168,145.37359505988152,6.877064751625639,0.1830965184713922,0.4278977897481971,0.625,0.4278977897481971
6S,Swiss Franc,FX,high,0,same_vol_bar,150,19.360309162425544,4.687205063422251,0.16735451696965065,0.4090898641736929,0.6333333333333333,0.4090898641736929
6B,British Pound,FX,high,0,same_vol_bar,137,22.192311340737096,4.433825294099512,0.16306887988474683,0.4038178796001323,0.635036496350365,0.4038178796001323
6C,Canadian Dollar,FX,high,0,same_vol_bar,155,12.659258193688324,6.257378950147526,0.14707781930463548,0.38350726108463096,0.6064516129032258,0.38350726108463096
YM,E-mini Dow,Equity,high,0,same_vol_bar,153,161.9384099090532,5.9007741237464595,0.14525373121923302,0.38112167508452366,0.673202614379085,0.38112167508452366
6A,Australian Dollar,FX,low,0,same_vol_bar,141,38.676552872491676,4.606745177504023,0.14275729551993588,0.37783236430980327,0.624113475177305,0.37783236430980327
6E,Euro FX,FX,spread,0,same_vol_bar,143,16.85740362198042,3.888240187788093,0.14261192520006483,0.3776399412139356,0.6083916083916084,0.3776399412139356
6L,Brazilian Real,FX,high,0,same_vol_bar,136,24.73957705115326,4.899058087886059,0.139959773857128,0.3741119803710223,0.6102941176470589,0.3741119803710223
RTY,E-mini Russell 2000,Equity,spread,0,same_vol_bar,168,113.13264883500509,4.743499505090575,0.12894879112110447,0.3590944041907425,0.5833333333333334,0.3590944041907425
