root,target_months_min,obs,latest_date,anchor,latest_pct_ann,hist_median_pct_ann,hist_p10_pct_ann,hist_p90_pct_ann,latest_percentile,latest_symbol,actual_months
GC,2,927,2026-06-21,GCQ6,4.558057795401881,5.279799413215404,4.407834355840724,6.009850318775737,17.367853290183387,GCV6,2.0
GC,3,884,2026-06-21,GCQ6,4.44134186151035,5.14086459912285,4.11700385454597,5.928948321855293,20.92760180995475,GCZ6,4.0
GC,4,884,2026-06-21,GCQ6,4.44134186151035,5.054294823367991,4.29148842418748,5.905771914313725,19.90950226244344,GCZ6,4.0
HG,2,902,2026-06-21,HGN6,5.944379491494063,4.5392521217405335,1.8835288915410187,6.357284154132,80.48780487804879,HGU6,2.0
HG,3,865,2026-06-21,HGN6,6.122733267405455,4.401695036405511,1.8367667035525954,6.119111694930569,90.17341040462428,HGZ6,5.0
HG,4,820,2026-06-21,HGN6,6.122733267405455,4.26205615520405,1.8513633681713815,5.962999530540355,93.17073170731707,HGZ6,5.0
PA,2,730,2026-06-19,PAU6,4.873316321457204,3.5133455814815413,1.4403152432657336,6.336230290745437,76.16438356164383,PAZ6,3.0
PA,3,730,2026-06-19,PAU6,4.873316321457204,3.5133455814815413,1.4403152432657336,6.336230290745437,76.16438356164383,PAZ6,3.0
PL,2,894,2026-06-21,PLN6,4.171449252904043,3.8203918998709385,2.404455711067125,5.005676317545794,67.11409395973155,PLV6,3.0
PL,3,894,2026-06-21,PLN6,4.171449252904043,3.8203918998709385,2.404455711067125,5.005676317545794,67.11409395973155,PLV6,3.0
SI,2,914,2026-06-21,SIN6,4.08007135947449,5.427299580075628,4.106964374022587,6.154764527929277,9.737417943107221,SIU6,2.0
