root,hour_utc,trades,contracts,mean_trade_size
GC,0,2052004,3269461.0,1.5933014750458576
GC,1,3532139,5513122.0,1.5608451422778096
GC,2,2471637,3929843.0,1.5899757933709522
GC,3,1906746,3043257.0,1.5960474022234739
GC,4,1425301,2322685.0,1.6296101665542928
GC,5,2278819,3624464.0,1.5905010446200423
GC,6,2953451,4768103.0,1.614417506841996
GC,7,3102671,5210372.0,1.6793182390269545
GC,8,3125265,5322691.0,1.7031166957042043
GC,9,2810304,4873270.0,1.734072185784883
GC,10,2596261,4550453.0,1.7526947406289275
GC,11,2943153,5106660.0,1.7350983791872185
GC,12,5787831,10343468.0,1.787106085163855
GC,13,9067507,15853521.0,1.7483880630034252
GC,14,9391913,16582397.0,1.7656037699667788
GC,15,7179649,12639494.0,1.760461270460436
GC,16,4949225,8645906.0,1.7469211846299169
GC,17,4273372,7563858.0,1.769997556964383
GC,18,3312426,5767224.0,1.741087649958067
GC,19,2620197,4444374.0,1.6961984156153145
GC,20,1663894,2856021.0,1.7164681163583737
GC,21,350989,615564.0,1.7537985520913761
GC,22,1010015,1632179.0,1.6159948119582384
GC,23,1560965,2495587.0,1.5987462883536787
HG,0,456339,764757.0,1.6758528199430687
HG,1,1274804,2077686.0,1.6298081901217756
HG,2,760429,1239541.0,1.6300548769181606
HG,3,500340,811487.0,1.6218711276332094
HG,4,273591,446895.0,1.63344188953584
HG,5,701455,1148049.0,1.6366680685147301
HG,6,933529,1559092.0,1.6701055885783944
HG,7,1111458,1867863.0,1.680552031655717
HG,8,1216238,2065068.0,1.697914388466731
HG,9,986256,1696400.0,1.7200402329618274
HG,10,788894,1336357.0,1.6939626870023095
HG,11,1066758,1836969.0,1.7220109903089549
HG,12,1955294,3505283.0,1.7927140368660672
HG,13,3190366,5783329.0,1.8127478163947335
HG,14,2723196,4924476.0,1.8083443130791907
HG,15,2241094,4050329.0,1.807299916915578
HG,16,1999420,3754954.0,1.8780216262716187
HG,17,1292762,2505459.0,1.9380667129757836
HG,18,643551,1205136.0,1.8726348028361388
HG,19,424508,769336.0,1.8123003571193004
HG,20,304778,564633.0,1.8526041905911843
HG,21,84943,154598.0,1.8200204843247825
HG,22,162522,287835.0,1.7710525344261085
HG,23,226330,388009.0,1.714350726814828
PA,0,33320,45233.0,1.357533013205282
PA,1,64260,85647.0,1.3328197945845004
PA,2,44809,60094.0,1.3411145082461113
PA,3,33837,46099.0,1.3623843721370097
PA,4,22611,30796.0,1.3619919508203973
PA,5,40194,54706.0,1.3610489127730507
PA,6,63823,86886.0,1.361358757814581
PA,7,86034,121381.0,1.410849199153823
PA,8,104049,148614.0,1.428307816509529
PA,9,89226,126789.0,1.4209871562100733
PA,10,74637,105267.0,1.410386269544596
PA,11,82196,115387.0,1.403803104773955
PA,12,190736,273651.0,1.4347108044627128
PA,13,300361,432107.0,1.4386255206235163
PA,14,293373,425998.0,1.4520695496858949
PA,15,241177,351259.0,1.4564365590416997
PA,16,241459,352253.0,1.458852227500321
PA,17,152840,219363.0,1.4352460088981942
PA,18,71592,101595.0,1.4190831377807576
PA,19,55417,79549.0,1.43546204233358
PA,20,41713,58748.0,1.4083858749071032
PA,21,12917,17819.0,1.3794998838739645
PA,22,17490,24122.0,1.3791881074899943
PA,23,27938,37699.0,1.3493807717087838
PL,0,286829,397162.0,1.3846647305537445
PL,1,479117,667843.0,1.3939037855054193
PL,2,342990,484814.0,1.4134931047552406
PL,3,249022,353076.0,1.4178506316710973
PL,4,180462,255048.0,1.4133058483226386
PL,5,282297,397640.0,1.4085874097138829
PL,6,406349,583781.0,1.4366492842359646
PL,7,529250,791827.0,1.4961303731695796
PL,8,594491,890434.0,1.4978090500949552
PL,9,537160,805560.0,1.4996649043115646
PL,10,472912,708048.0,1.4972087830294007
PL,11,515433,761848.0,1.4780737748650163
PL,12,1135390,1725008.0,1.5193087837659307
PL,13,1614642,2462248.0,1.5249498031142508
PL,14,1578033,2400704.0,1.5213268670553783
PL,15,1283818,1935712.0,1.5077775821806518
PL,16,980488,1459602.0,1.4886485097216897
PL,17,818924,1231722.0,1.5040736380909583
PL,18,499943,743327.0,1.4868234978787582
PL,19,319582,464553.0,1.4536269251710046
PL,20,225338,329794.0,1.4635525299771899
PL,21,58777,86945.0,1.4792350749442809
PL,22,119044,177510.0,1.4911293303316422
PL,23,208903,293459.0,1.4047620187359684
SI,0,605831,955003.0,1.576352151012411
SI,1,1483953,2300416.0,1.550194649021903
SI,2,854499,1343754.0,1.5725635723388793
SI,3,625367,967731.0,1.5474609309413512
SI,4,369811,588612.0,1.5916562784773844
SI,5,817179,1266224.0,1.5495062893197207
SI,6,1061167,1677677.0,1.5809735885115161
SI,7,921010,1540420.0,1.6725334144037525
SI,8,926651,1571443.0,1.6958304690762758
SI,9,790725,1345688.0,1.7018407157987923
SI,10,730288,1254739.0,1.7181427053436453
SI,11,903833,1590015.0,1.7591911337603297
SI,12,1964992,3594350.0,1.8291931977331206
SI,13,3668682,6468394.0,1.763138369583409
SI,14,3621322,6379758.0,1.7617207196708826
SI,15,2775676,4877885.0,1.75736829514684
SI,16,1967525,3443054.0,1.7499416779964676
SI,17,1718277,3025077.0,1.7605292976627167
SI,18,1344451,2328104.0,1.7316391597759977
SI,19,933614,1611911.0,1.7265283082730123
SI,20,598207,1034731.0,1.7297206485380479
SI,21,155869,262529.0,1.6842925790246939
SI,22,250186,426838.0,1.7060826744901794
SI,23,451625,720767.0,1.5959413230002768
